,hotel_id,hotel_amenities,image_available_for_category
0,44150,Garden/Backyard|In-house Restaurant|Dining Area,Restaurant
1,90332,Swimming Pool|Parking Facility,Pool
2,90917,Swimming Pool|Garden/Backyard|Parking Facility|Dining Area,Pool
3,97358,Conference Room|Bar|Parking Facility|Dining Area|In-house Restaurant,Restaurant
4,101281,Swimming Pool|Parking Facility,
5,93482,In-house Restaurant|Parking Facility,Restaurant
6,45334,In-house Restaurant|Dining Area,Dining
7,94725,Garden/Backyard|Parking Facility|Bar,
8,75378,Garden/Backyard,
9,79276,Garden/Backyard|Parking Facility|Dining Area,
10,62986,Garden/Backyard,
11,37541,Dining Area|In-house Restaurant,Dining
12,45635,Dining Area|In-house Restaurant,Restaurant
13,20162,Dining Area|In-house Restaurant,Restaurant
14,104254,Dining Area|Parking Facility|In-house Restaurant,Restaurant
15,60578,Dining Area|Conference Room|In-house Restaurant|Parking Facility,Restaurant
16,52984,Dining Area|Bar|Parking Facility|Conference Room|In-house Restaurant,
17,97957,Dining Area|Parking Facility,
18,98446,Parking Facility|Conference Room|Dining Area|In-house Restaurant,
19,76427,Parking Facility,
20,53696,Parking Facility|Conference Room,
21,39512,Parking Facility,
22,61602,Parking Facility,
23,74624,Parking Facility,
24,59979,Parking Facility|Bar|In-house Restaurant|Dining Area,Restaurant
25,86051,Parking Facility|Swimming Pool,Pool|Parking
26,97698,Board Games,
27,75707,Spa|Parking Facility,
28,90343,Spa|Parking Facility|Dining Area|In-house Restaurant,
29,43959,Garden/Backyard|Dining Area|Conference Room|In-house Restaurant|Parking Facility,Restaurant
30,88102,Garden/Backyard|Bar|Swimming Pool|Dining Area|Conference Room|In-house Restaurant|Parking Facility,Pool|Boardroom|Restaurant|Parking|Lawn
31,88400,Garden/Backyard|Parking Facility|Swimming Pool|In-house Restaurant,Pool|Restaurant
32,1841,Parking Facility|Dining Area,
33,50723,Parking Facility|Dining Area|In-house Restaurant,Restaurant
34,77597,Parking Facility,
