,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
0,50926,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
1,86800,10.0,Standard|Deluxe Two beds With View|2 Bedroom Apartment with View|Standard Two Beds With View|Standard Two Beds|Standard Triple|Family Room With View|Junior Suite With View,Standard|Deluxe Two beds With View|2 Bedroom Apartment with View|Standard Two Beds With View|Standard Two Beds|Standard Triple|Family Room With View|Junior Suite With View
2,97069,10.0,Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X)
3,42508,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X)
4,54155,10.0,Saver Single (X)|Classic (2X)|Classic (2X),Saver Single (X)|Classic (2X)|Classic (2X)
5,62818,10.0,Deluxe Studio Twin|Three Bedroom Apartment|Deluxe Studio|Deluxe Studio|Two Bedroom Deluxe Apartment|One Bedroom Apartment|One Bedroom Apartment,Deluxe Studio Twin|Three Bedroom Apartment|Deluxe Studio|Deluxe Studio|Two Bedroom Deluxe Apartment|One Bedroom Apartment|One Bedroom Apartment
6,83009,10.0,Saver Single (X)|Classic (2X)|Saver Double (X),Saver Single (X)|Classic (2X)|Saver Double (X)
7,96197,7.5,Spot on Deluxe Family|Spot on Deluxe Double|Spot on Superior Family|Spot on Standard Double	,Spot on Deluxe Family|Spot on Deluxe Double|Spot on Superior Family|
8,103259,7.5,Standard Double Room - Shared|Standard Triple Studio|Standard Double Room|Standard Double Studio,Standard Double Room - Shared|Standard Triple Studio|Standard Double Room|
9,94886,8.0,Standard Room Twin|King Suite|Classic (2X)|Standard Room King|Suite,Standard Room Twin|King Suite|Standard Room King|Suite
10,46274,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Saver Double (X)
11,90960,10.0,Japanese Room with Shared Washroom - Quintuple (Smoking)|Japanese Room with Shared Washroom - Triple (Smoking),Japanese Room with Shared Washroom - Quintuple (Smoking)|Japanese Room with Shared Washroom - Triple (Smoking)
12,93058,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
13,42058,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
14,13792,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
15,1209,10.0,Classic (2X)|Saver Single (X)|Suite (4X),Classic (2X)|Saver Single (X)|Suite (4X)
16,86609,10.0,Deluxe Triple Room|Standard Double room - King,Deluxe Triple Room|Standard Double room - King
17,55249,10.0,Saver Double (X)|Saver Single (X)|Classic (2X),Saver Double (X)|Saver Single (X)|Classic (2X)
18,90698,10.0,Deluxe Double|Suite Triple|Suite Family,Deluxe Double|Suite Triple|Suite Family
19,54009,10.0,Classic (2X)|Saver Single (X)|Saver Double (X),Classic (2X)|Saver Single (X)|Saver Double (X)
20,46263,10.0,Classic (2X),Classic (2X)
21,84519,10.0,Classic (2X),Classic (2X)
22,51475,10.0,Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
23,99918,7.142857142857142,Standard|Standard Triple|Standard Two Beds|Standard Quadruple|Family Room|Standard Four Beds|Standard Three beds,Standard|Standard Triple|Standard Two Beds|Standard Quadruple|Family Room|
24,58658,10.0,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON
25,46266,5.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|
26,84997,10.0,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON Deluxe|SPOT ON,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON Deluxe|SPOT ON
27,95634,10.0,Deluxe (3X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Suite (4X)
28,5999,5.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|
29,3133,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
30,43411,10.0,Indonesia Standard Double|Indonesia Standard Single,Indonesia Standard Double|Indonesia Standard Single
31,101119,7.5,Vietnam Superior Double|Vietnam Standard Double|Classic (2X)|Superior Family|Superior Family,Vietnam Superior Double|Vietnam Standard Double|Superior Family|Superior Family
32,75249,10.0,Deluxe (3X),Deluxe (3X)
