,hotel_id,no_of_comments
0,48260,61
1,62863,53
2,89835,0
3,77831,14
4,78270,37
5,88628,2
6,54040,40
7,91770,0
8,55893,19
9,43898,28
10,94450,0
11,48994,32
12,75446,37
13,92079,0
14,3372,9
15,92819,0
16,85020,0
17,86080,6
18,101366,0
19,76214,14
20,90392,0
21,81608,5
22,84772,9
23,92954,0
24,104041,0
25,6055,0
26,57941,14
27,89379,0
28,3510,36
29,18326,8
30,102241,0
31,42871,61
32,83408,0
33,102072,0
34,52560,44
35,50960,18
36,98472,0
37,17876,0
38,78759,44
39,96880,0
40,89978,31
41,88943,5
42,100590,0
43,81580,24
44,79631,9
45,102351,0
46,75308,2
47,62317,33
48,92206,0
49,99240,3
50,87737,22
51,94293,0
52,91174,0
53,54121,45
54,101231,0
55,80407,0
56,58557,50
57,47208,99
58,95629,2
59,44317,36
60,48232,34
61,1710,77
62,43012,27
63,88907,7
64,51382,31
65,96543,2
66,76222,30
67,102688,0
68,95637,0
69,75612,41
70,87990,3
71,99513,0
72,40579,0
73,97136,0
74,86055,0
75,88018,0
76,82058,29
77,53778,37
78,83968,8
79,47616,57
80,103169,0
81,58402,94
82,102666,0
83,73702,18
84,79960,37
85,93280,5
86,42545,55
87,46598,69
88,92217,4
89,100292,0
90,97437,0
91,57935,39
92,104623,0
93,80556,14
94,85048,13
95,77232,3
96,83996,3
97,42694,2
98,83549,0
99,47219,2
100,84128,2
101,54670,14
102,47152,17
103,94771,0
104,74121,36
105,38236,35
106,82891,1
107,87596,4
108,79378,26
109,88167,13
110,99538,0
111,103262,0
112,95980,0
113,80241,68
114,59912,16
115,81583,3
116,41805,36
117,80275,23
118,92642,0
119,74242,8
120,9658,6
121,180,79
122,76644,24
123,85470,60
124,99687,0
125,14583,52
126,87759,0
127,84868,4
128,18633,15
129,48856,0
130,98779,0
131,97114,0
132,98340,0
133,55418,11
134,77257,13
135,100306,0
136,56006,0
137,81186,10
138,96408,0
139,101780,0
140,92788,0
141,51849,47
142,37457,87
143,58568,40
144,80680,39
145,84857,0
146,96281,0
147,14262,0
148,77865,24
149,90541,3
150,17716,51
151,6196,0
152,12631,18
153,93120,0
154,104162,1
155,92338,1
156,61974,3
157,87107,6
158,5771,9
159,79800,8
160,89517,5
161,90414,10
162,94903,0
163,61690,1
164,50043,0
165,97454,1
166,58242,21
167,98624,0
168,57094,99
169,97021,0
170,59426,94
171,57370,0
172,79507,38
173,73182,3
174,39243,11
175,88921,9
176,74858,8
177,15331,41
178,18287,57
179,91784,0
180,76523,6
181,104601,0
182,75733,44
183,74397,62
184,92192,0
185,18003,66
186,80233,0
187,98042,0
188,104449,3
189,78624,0
190,101487,0
191,81735,9
192,61864,0
193,27284,2
194,89669,0
195,94287,0
196,48229,11
197,98202,0
198,101625,0
199,74287,65
200,84609,13
201,74681,69
202,97631,0
203,95066,2
204,50780,1
205,86235,0
206,89230,12
207,49132,7
208,100759,0
209,90254,18
210,52240,51
211,89846,1
212,87129,2
213,96402,0
214,57811,64
215,92529,0
216,4286,0
217,56059,8
218,87565,3
219,495,61
220,93393,0
221,61417,35
222,42255,52
223,89680,29
224,41490,21
225,76360,12
226,81417,2
227,7706,4
228,60776,44
229,103428,0
230,56343,5
231,11590,44
232,94442,3
233,98478,0
234,40894,18
235,100697,0
236,76056,2
237,103138,0
238,98635,0
239,88316,41
240,79659,4
241,99580,0
242,60500,15
243,60652,10
244,74712,14
245,40025,51
246,99251,0
247,16076,9
248,102961,0
249,43622,27
250,83369,61
251,79043,74
252,49185,4
253,61991,38
254,54107,28
255,82922,13
256,45706,95
257,85751,0
258,42680,39
259,50181,89
260,100863,0
261,61566,1
262,100019,0
263,92667,0
264,98945,2
265,56602,86
266,78337,0
267,103290,0
268,92816,0
269,86980,0
270,97904,1
271,78582,24
272,93975,0
273,77856,55
274,48395,12
275,102061,0
276,48083,3
277,62438,1
278,102981,1
279,86232,0
280,47371,25
281,2036,82
282,82778,0
283,87405,11
284,14729,77
285,57052,20
286,51244,20
287,99350,0
288,75606,30
289,47619,70
