,hotel_id,no_of_ratings
0,49565,0
1,37260,2
2,62829,0
3,47776,38
4,90507,8
5,79876,8
6,94681,0
7,48772,266
8,56107,13
9,76613,100
10,103529,0
11,96357,0
12,96650,3
13,62978,348
14,59696,127
15,5096,8
16,77946,0
17,46716,112
18,58045,0
19,94234,12
20,60185,192
21,85290,0
22,94819,0
23,89458,25
24,95578,0
25,5138,193
26,85028,4
27,61802,166
28,76602,32
29,94990,0
30,85149,7
31,93100,0
32,46969,208
33,89298,30
34,90195,164
35,76655,114
36,49959,114
37,51210,7
38,95716,3
39,81552,4
40,91877,0
41,90234,25
42,48350,110
43,75075,22
44,59884,203
45,36405,66
46,88274,33
47,87219,10
48,80517,236
49,76585,1
50,78554,26
51,96318,4
52,96661,1
53,52971,42
54,44010,350
55,51795,93
56,82742,133
57,99181,0
58,85096,144
59,89191,16
60,96976,10
61,100379,0
62,99063,0
63,83650,319
64,96633,0
65,62846,48
66,103993,0
67,48046,264
68,49264,9
69,56596,237
70,15882,0
71,96360,0
72,98036,3
73,86364,35
74,98171,0
75,98298,0
76,96512,2
77,101459,0
78,76599,360
79,81085,0
80,56571,37
81,99372,0
82,101268,0
83,45059,293
84,61614,307
85,56709,278
86,92442,0
87,87512,14
88,35626,219
89,87931,0
90,85259,1
91,49208,0
92,75553,128
93,81411,9
94,101155,0
95,104584,0
96,74518,170
97,51925,27
98,91902,13
99,41493,44
100,88465,10
101,19471,0
102,36852,442
103,101406,0
104,80227,223
105,13621,278
106,77811,256
107,14383,437
108,52850,122
109,81521,375
110,76737,414
111,102165,0
112,104471,17
113,90220,16
114,98146,1
115,92020,0
116,56869,0
117,94684,5
118,43425,8
119,52833,57
120,95921,0
121,91694,5
122,4674,459
123,46097,149
124,43535,495
125,46674,4
126,95139,0
127,48460,6
128,48468,311
129,54310,72
130,91719,0
131,50544,132
132,94284,0
133,43971,3
134,104592,106
135,15418,0
136,61847,284
137,49990,58
138,91562,12
139,43099,46
140,99634,0
141,102199,0
142,93213,1
143,74068,19
144,54923,42
145,101420,0
146,96374,0
147,102753,0
148,55561,354
149,82002,0
150,49846,0
151,104443,13
152,42621,141
153,93812,0
154,98118,1
155,89185,0
156,10071,90
157,103211,0
158,81563,51
159,46986,251
160,103071,0
161,95443,0
162,55781,177
163,94422,0
164,98475,1
165,104539,0
166,96630,0
167,98759,0
168,93494,0
169,89801,4
170,94875,0
171,99926,2
172,59254,155
173,75713,9
174,48353,24
175,100382,0
176,89745,78
177,98568,0
178,43439,234
179,93376,0
180,94397,1
181,91134,115
182,77215,328
183,37522,404
184,90504,47
185,18557,124
186,50597,287
187,58219,39
188,38588,155
189,92141,0
190,77513,25
191,76273,42
192,85000,4
193,19178,245
194,78222,26
195,81729,176
196,98011,0
197,87647,32
198,86803,141
199,14085,1
200,79583,198
201,102629,0
202,2902,191
203,90684,48
204,90828,0
205,56720,4
206,89019,26
207,95291,0
208,79791,275
209,61670,97
210,98008,0
211,43588,8
212,50901,9
213,101172,0
214,779,381
215,49045,459
216,48825,34
217,54608,442
218,97564,0
219,76903,11
220,96484,3
221,94833,5
222,47146,139
223,46547,116
224,93514,1
225,58053,410
226,76765,340
227,101116,0
228,96669,1
229,75702,66
230,82151,181
231,96793,0
232,98720,1
233,73806,144
234,103065,0
235,99220,0
236,76740,292
237,75429,4
238,93671,6
239,93331,0
240,57308,82
241,96354,0
242,80039,66
243,100978,0
244,97696,0
245,84255,89
246,60784,20
247,62992,170
248,99341,0
249,86145,74
250,6016,498
251,78675,0
252,47880,0
253,103656,0
254,93986,3
255,95758,1
256,81864,254
257,54456,0
258,88870,46
259,90833,8
260,95269,0
261,922,339
262,48024,469
263,101130,0
264,84539,327
265,59997,0
266,89174,56
267,53410,254
268,58211,253
269,86350,0
270,75412,6
271,42840,208
272,62708,160
273,83768,57
274,102486,0
275,87675,23
276,101541,0
277,81836,1
278,96346,1
279,100227,2
280,96335,2
281,50299,0
282,104308,5
283,74976,372
284,15902,271
285,42075,415
286,83062,3
287,87239,10
288,85262,332
289,86775,26
290,92884,0
291,77195,132
292,98734,0
293,87863,0
294,48474,259
295,39215,324
296,101774,0
297,97370,0
298,57021,126
299,35325,63
300,88263,0
301,99482,0
302,74065,91
303,93972,0
304,92614,32
305,93674,0
306,15854,484
307,42486,155
308,79150,0
309,101591,4
310,86662,61
311,58796,165
312,42978,280
313,46983,284
314,91258,0
315,75443,115
316,79721,146
317,91283,0
318,76630,22
319,74360,0
320,60019,104
321,75730,99
322,89177,6
323,99769,0
324,88713,0
325,43397,6
326,45948,449
327,84702,86
328,81861,53
329,74197,448
330,88108,20
331,59409,88
332,76138,0
333,101285,2
334,103819,54
335,81853,185
336,84983,7
337,95311,15
338,96672,0
339,93522,0
340,84235,0
341,100708,9
342,89281,22
343,80826,54
344,100669,1
345,92937,0
346,53446,45
347,35899,131
348,94546,0
349,89036,40
350,40109,185
351,86460,7
352,49658,117
353,86162,119
354,56146,269
355,101144,0
356,61510,315
357,93469,7
358,94380,0
359,59538,490
360,48606,243
361,99755,0
362,84848,243
363,101597,0
364,60416,94
365,57446,150
366,96782,2
367,87067,163
368,82747,40
369,81209,7
370,61237,35
371,52237,49
372,46876,132
373,90963,0
374,51295,109
375,87526,0
376,76191,224
377,61212,70
378,57738,193
379,100956,5
380,92155,74
381,52819,6
382,93207,0
383,86921,153
384,49689,417
385,55210,0
386,81704,68
387,75291,37
388,45332,76
389,96920,0
390,83462,80
391,61479,70
392,96236,0
393,93370,11
394,87692,18
395,10620,181
396,89444,35
397,19797,277
398,81414,0
399,74678,80
400,98877,0
401,50175,177
402,86623,188
403,76461,338
404,74923,21
405,103858,0
406,104280,0
407,90819,89
408,48496,32
409,49084,46
410,103982,1
411,102891,0
412,101912,4
413,90240,122
414,96492,0
415,82427,16
416,98599,1
417,100081,0
418,93199,0
419,92909,1
420,84677,323
421,95595,0
422,52245,117
423,73449,170
424,93809,11
425,97083,0
426,100953,3
427,62697,116
428,44162,353
429,45211,6
430,62694,465
431,75696,78
432,56678,1
433,82877,0
434,53896,61
435,103394,0
436,36366,19
437,47737,22
438,76754,80
439,36529,419
440,87970,37
441,80011,18
442,77243,30
443,58070,313
444,39662,15
445,83040,1
446,103234,0
447,99960,0
448,98770,0
449,92321,0
450,48949,7
451,86634,0
452,100981,0
453,90968,65
454,99192,0
455,102207,0
456,42500,141
457,98576,0
458,56731,6
459,58202,252
460,103664,0
461,84376,104
462,49275,5
463,103667,0
464,92434,0
465,7501,40
466,95910,0
467,48204,102
468,89618,1
469,43996,111
470,58984,229
471,42362,201
472,85886,300
473,76020,17
474,102019,0
475,104609,0
476,93646,4
477,104021,49
478,96959,1
479,97367,0
480,89486,0
481,89334,1
482,16003,38
483,81496,89
484,81974,70
485,88738,40
486,92867,1
487,87644,2
488,93649,6
489,82275,36
490,49675,0
491,101448,1
492,41895,168
493,47889,333
494,90333,0
495,47160,213
496,104570,0
497,103816,0
498,60132,39
499,77201,174
500,88710,17
501,81237,4
502,90046,29
503,94695,0
504,84713,75
505,97097,0
506,79004,12
507,103678,0
508,104457,0
509,100829,0
510,57766,69
511,94099,3
512,91871,106
513,6584,49
514,99206,2
515,90659,45
516,80461,8
517,59738,167
518,60604,72
519,81850,110
520,43259,30
521,98908,0
522,90521,0
523,79462,18
524,97980,0
525,91148,0
526,39488,428
527,92628,0
528,99974,1
529,82576,318
530,42691,76
531,73775,137
532,93795,0
533,100984,20
534,83327,198
535,43096,161
536,85574,0
537,86952,366
538,83653,0
539,55972,1
540,102027,0
541,100683,0
542,46862,60
543,93663,0
544,86778,20
545,55058,313
546,85613,21
547,88150,1
548,103231,0
549,98593,0
550,88749,83
551,43847,492
552,88583,151
553,9284,0
554,91106,29
555,9762,255
556,99493,0
557,49818,442
558,48060,251
559,87506,0
560,83189,106
561,83501,2
562,75890,5
563,100396,6
564,5855,109
565,5397,0
