,hotel_id,repeating_amenities_score
0,81772,2
1,1179,0
2,52896,0
3,100478,2
4,52443,0
5,48857,2
6,79227,2
7,12401,0
8,45926,0
9,94648,2
10,97753,2
11,49161,0
12,53506,0
13,75354,0
14,4886,0
15,15815,0
16,17936,0
17,54558,2
18,96406,2
19,5662,0
20,86559,2
21,50072,2
22,62782,2
23,95534,0
24,99722,2
25,99924,2
26,82090,0
27,77016,2
28,61896,2
29,46804,0
30,98408,2
31,80599,0
32,97196,2
33,50997,2
34,37829,0
35,38411,0
36,91073,2
37,40653,2
38,39902,2
39,87484,2
40,81184,2
41,46199,2
42,89408,2
43,92994,0
44,87625,0
45,76552,0
46,42588,2
47,59806,0
48,84199,2
49,80872,2
50,100197,2
51,80734,2
52,59533,2
53,46340,0
54,16009,0
55,86576,2
56,62219,2
57,56783,2
58,13093,0
59,93922,0
60,82990,0
61,54389,0
62,42155,0
63,91520,2
64,99457,2
65,89262,2
66,54721,2
67,10460,0
68,89847,2
69,56968,0
70,16707,0
71,49023,0
72,13869,0
73,12221,0
74,97930,0
75,96906,2
76,96774,2
77,56943,0
78,101994,2
79,35714,2
80,95714,2
81,422,0
82,94521,2
83,100630,2
84,98802,0
85,95390,2
86,97221,2
87,58133,2
88,57548,2
89,3108,0
90,59972,2
91,14960,0
92,82236,2
93,100200,2
94,88986,2
95,729,0
96,100321,2
97,97947,2
98,99446,0
99,428,0
100,56645,2
101,87622,2
102,81654,2
103,90730,2
104,84483,2
105,56513,2
106,886,0
107,36054,0
108,44672,2
109,45558,0
110,44987,2
111,59969,2
112,78355,0
113,55731,0
114,97961,2
115,56684,2
116,58633,2
117,18656,0
118,7009,0
119,46947,0
120,45409,0
121,47687,2
122,35888,2
123,54133,0
124,78161,0
125,4652,0
126,27341,0
127,103316,2
128,17930,0
129,42903,0
130,86725,2
131,75961,2
132,92260,2
133,101972,2
134,101671,2
135,14468,0
136,49934,0
137,56808,2
138,50826,0
139,35261,2
140,100042,2
141,10134,0
142,98245,0
143,61139,2
144,42425,0
145,51731,2
146,82076,0
147,38552,0
148,45271,2
149,12367,0
150,73728,2
151,97050,2
152,16718,0
153,73568,2
154,42599,0
155,101218,2
156,6289,0
157,40689,0
158,3122,0
159,99142,2
160,73236,0
161,75787,2
162,83150,2
163,49490,0
164,91619,2
165,58622,0
166,103915,2
167,96583,2
168,99899,2
169,20017,0
170,77927,2
171,89557,2
172,89996,2
173,35416,0
174,6852,0
175,75174,2
176,79553,2
177,55129,2
178,89425,2
179,38425,0
180,86396,2
181,99429,2
182,75922,2
183,84950,2
184,89124,2
185,61426,2
186,2675,0
187,14038,0
188,85513,2
189,79865,0
190,91357,0
191,88677,2
192,60692,0
193,76535,0
194,98695,2
195,75925,2
196,76257,2
197,52471,0
198,81828,2
199,7023,0
200,100301,2
201,13894,0
202,102295,2
203,89259,2
204,39927,0
205,15970,0
206,9985,0
207,17168,0
208,4419,0
209,94170,2
210,74763,2
211,104545,2
212,52918,2
213,19393,2
214,88072,2
215,87299,2
216,86899,2
217,94029,2
218,81963,0
219,54597,2
220,81159,2
221,59505,0
222,90300,2
223,79986,0
224,91481,2
225,75227,0
226,49746,2
227,99117,2
228,94794,2
229,45274,2
230,50331,0
231,53247,0
232,98085,2
233,99609,2
234,74738,0
235,54409,2
236,93900,2
237,94184,2
238,59646,0
239,101668,2
240,48885,0
241,18380,0
242,16842,0
243,79252,2
244,90935,2
245,75230,0
246,91225,2
247,83139,2
248,96884,2
249,100056,2
250,59480,2
251,18234,0
252,2636,0
253,98827,0
254,86272,2
255,97044,2
256,51436,2
257,89231,2
258,75663,2
259,4149,0
260,91385,2
261,76262,2
262,79407,2
263,39328,0
264,99128,2
265,87321,0
266,96133,2
267,3848,0
268,78062,2
269,46497,0
270,42121,0
271,82987,0
272,97303,2
273,92724,2
274,99570,2
275,55936,0
276,78625,0
277,102866,2
278,55773,0
279,88536,2
280,19289,2
281,61325,2
282,101055,2
283,101381,2
284,92384,2
285,102883,2
286,6123,0
287,82101,2
288,84514,0
289,94206,2
290,18507,2
291,78611,0
292,8953,0
293,10435,0
294,49937,0
295,47833,0
296,574,0
297,83451,2
298,103617,2
299,84798,2
300,81193,0
301,95520,2
302,94071,2
303,12845,0
304,47234,0
305,53973,2
306,78912,0
307,59668,2
308,6126,0
309,43336,0
310,400,0
311,77455,2
312,47226,2
